"name","GP","GS","MP","YC","RC","OFF","C","CK","TT","P","INT","BLK","GMB","TKL","FS","FC","PKG","PK","G","A","SOG","S"
"Downing, StewartDowning, S.WHU",32,29,2510,0,0,10,165,81,1218,560,83,15,0,7,29,5,0,0,1,2,10,41
"Duff, DamienDuff, D.FUL",15,9,695,1,0,3,18,13,261,121,20,2,0,4,8,6,0,0,0,3,2,7
"Dummett, PaulDummett, P.NCU",18,11,1139,1,1,0,37,24,915,346,90,16,0,10,3,9,0,0,1,0,2,12
"Dyer, NathanDyer, N.SWA",27,19,1750,1,0,3,46,1,1094,648,54,11,0,7,42,10,0,0,6,2,12,36
"Dzeko, EdinDzeko, E.MCY",31,23,1991,4,0,7,23,1,953,445,41,7,0,12,27,28,0,0,16,1,39,105
"Eikrem, MagnusEikrem, M.CC",6,1,198,0,0,0,5,10,144,95,8,0,0,1,3,1,0,0,0,1,1,6
"El Ahmadi, KarimEl Ahmadi, K.AST",31,26,2187,7,0,1,21,2,1050,542,92,22,0,30,13,53,0,0,2,1,7,29
"Elliot, RobElliot, R.NCU",2,2,180,0,0,0,0,0,98,20,6,0,0,0,0,0,0,0,0,0,0,0
"Elmander, JohanElmander, J.NC",29,16,1487,3,0,15,11,0,619,264,35,10,0,17,17,25,0,0,1,4,5,24
"Elmohamady, AhmedElmohamady, A.HUL",38,38,3329,3,0,4,198,5,2450,1152,191,22,0,10,30,32,0,0,2,2,8,18
"Emnes, MarvinEmnes, M.SWA",7,2,135,2,0,1,6,0,82,41,5,1,0,0,5,2,0,0,1,0,1,1
"Enrique, JoséEnrique, J.LIV",8,6,602,0,0,1,25,0,440,233,32,6,0,4,1,4,0,0,0,2,1,4
"Eriksen, ChristianEriksen, C.TOT",25,23,1983,3,0,0,103,124,1500,812,120,13,0,6,14,9,0,0,7,8,23,50
"Essien, MichaelEssien, M.CHE",5,2,147,2,0,1,1,0,167,112,20,2,0,1,2,2,0,0,0,0,1,3
"Etherington, MatthewEtherington, M.STO",11,5,420,0,0,0,13,17,187,98,12,2,0,3,2,3,0,0,0,0,0,0
"Eto'o, SamuelEto'o, S.CHE",21,16,1306,1,0,15,23,1,480,215,34,4,0,2,14,13,0,0,9,2,23,58
"Evans, JonnyEvans, J.MAN",17,17,1377,0,0,0,2,0,1035,676,100,21,0,6,11,1,0,0,0,0,1,7
"Evra, PatriceEvra, P.MAN",33,33,2884,2,0,13,135,0,2126,1017,183,24,0,11,33,35,0,0,1,3,9,19
